Rap God,eminem
Lose Yourself,eminem
Without Me,eminem
The Real Slim Shady,eminem
Killshot,eminem
Mockingbird,eminem
Godzilla,eminem
Stan,eminem
Houdini,eminem
The Monster,eminem
Lucky You,eminem
The Ringer,eminem
Superman,eminem
’Till I Collapse,eminem
Venom,eminem
River,eminem
Love the Way You Lie,eminem
Not Alike,eminem
8 Mile: B-Rabbit vs Papa Doc,eminem
Berzerk,eminem
Fall,eminem
Cleanin’ Out My Closet,eminem
Kamikaze,eminem
Beautiful,eminem
Walk on Water,eminem
Bad Guy,eminem
When I’m Gone,eminem
The Way I Am,eminem
Not Afraid,eminem
My Name Is,eminem
No Love,eminem
Sing for the Moment,eminem
Like Toy Soldiers,eminem
Headlights,eminem
Survival,eminem
Greatest,eminem
Kim,eminem
Kill You,eminem
Love Game,eminem
Space Bound,eminem
Unaccommodating,eminem
Marshall Mathers,eminem
Legacy,eminem
Criminal,eminem
Gnat,eminem
Shake That,eminem
Guts Over Fear,eminem
White America,eminem
I’m Back,eminem
Darkness,eminem
HUMBLE.,kendrick lamar
​euphoria,kendrick lamar
Not Like Us,kendrick lamar
​m.A.A.d city,kendrick lamar
Swimming Pools (Drank),kendrick lamar
Money Trees,kendrick lamar
DNA.,kendrick lamar
XXX.,kendrick lamar
"Bitch, Don’t Kill My Vibe",kendrick lamar
​meet the grahams,kendrick lamar
King Kunta,kendrick lamar
Poetic Justice,kendrick lamar
LOVE.,kendrick lamar
Alright,kendrick lamar
Backseat Freestyle,kendrick lamar
"Sing About Me, I’m Dying of Thirst",kendrick lamar
The Blacker the Berry,kendrick lamar
ELEMENT.,kendrick lamar
LOYALTY.,kendrick lamar
​i (Album Version),kendrick lamar
A.D.H.D,kendrick lamar
Wesley’s Theory,kendrick lamar
FEAR.,kendrick lamar
PRIDE.,kendrick lamar
Mortal Man,kendrick lamar
​u,kendrick lamar
6:16 in LA,kendrick lamar
DUCKWORTH.,kendrick lamar
The Heart Part 4,kendrick lamar
The Art of Peer Pressure,kendrick lamar
How Much a Dollar Cost,kendrick lamar
These Walls,kendrick lamar
HiiiPoWeR,kendrick lamar
Rigamortus,kendrick lamar
Black Friday,kendrick lamar
Hood Politics,kendrick lamar
Sherane a.k.a Master Splinter’s Daughter,kendrick lamar
FEEL.,kendrick lamar
N95,kendrick lamar
LUST.,kendrick lamar
The Recipe,kendrick lamar
​untitled 02 | 06.23.2014.,kendrick lamar
For Free? (Interlude),kendrick lamar
Institutionalized,kendrick lamar
YAH.,kendrick lamar
The Heart Part 5,kendrick lamar
BLOOD.,kendrick lamar
"Bitch, Don’t Kill My Vibe (Remix)",kendrick lamar
Real,kendrick lamar
GOD.,kendrick lamar
No Role Modelz,j cole
Power Trip,j cole
Wet Dreamz,j cole
Crooked Smile,j cole
MIDDLE CHILD,j cole
She Knows,j cole
Love Yourz,j cole
Deja Vu,j cole
G.O.M.D.,j cole
Apparently,j cole
Kevin’s Heart,j cole
Fire Squad,j cole
4 Your Eyez Only,j cole
KOD,j cole
1985,j cole
Neighbors,j cole
A Tale of 2 Citiez,j cole
Forbidden Fruit,j cole
03' Adolescence,j cole
Work Out,j cole
Immortal,j cole
Change,j cole
Rich Niggaz,j cole
January 28th,j cole
ATM,j cole
Let Nas Down,j cole
False Prophets,j cole
Nobody’s Perfect,j cole
Villuminati,j cole
"She’s Mine, Pt. 1",j cole
7 Minute Drill,j cole
​t h e . c l i m b . b a c k,j cole
Born Sinner,j cole
Snow On Tha Bluff,j cole
In the Morning,j cole
​i n t e r l u d e,j cole
​everybody dies,j cole
Lost Ones,j cole
​​a m a r i,j cole
Photograph,j cole
LAnd of the Snakes,j cole
9 5 . s o u t h,j cole
Runaway,j cole
Can’t Get Enough,j cole
Sparks Will Fly,j cole
"She’s Mine, Pt. 2",j cole
FRIENDS,j cole
Black Friday,j cole
The Cut Off,j cole
Trouble,j cole
N.Y. State of Mind,nas
Ether,nas
Life’s a Bitch,nas
The World Is Yours,nas
The Message,nas
It Ain’t Hard to Tell,nas
One Love,nas
If I Ruled the World (Imagine That),nas
Represent,nas
Nas Is Like,nas
Halftime,nas
Memory Lane (Sittin’ In Da Park),nas
Affirmative Action,nas
One Mic,nas
I Can,nas
Daughters,nas
Cherry Wine,nas
Made Nas Proud [Let Nas Down Remix],nas
Hate Me Now,nas
EPMD 2,nas
The Don,nas
Made You Look,nas
One Time 4 Your Mind,nas
​everything,nas
The Genesis,nas
Adam and Eve,nas
Take It in Blood,nas
I Gave You Power,nas
Bye Baby,nas
Get Down,nas
Street Dreams,nas
Not For Radio,nas
Wrote My Way Out,nas
Cops Shot the Kid,nas
Nasty,nas
Got Ur Self a Gun,nas
Last Real Nigga Alive,nas
Stay,nas
No Introduction,nas
Hip Hop Is Dead,nas
You’re Da Man,nas
Purple,nas
Trust,nas
What Goes Around,nas
Accident Murderers,nas
Rewind,nas
Black Republican,nas
Nobody,nas
Loco-Motive,nas
Bonjour,nas
Holy Grail,jay z
Empire State of Mind,jay z
Part II (On the Run),jay z
The Story of O.J.,jay z
4:44,jay z
Tom Ford,jay z
Renegade,jay z
FuckWithMeYouKnowIGotIt,jay z
99 Problems,jay z
Run This Town,jay z
Oceans,jay z
Takeover,jay z
Kill Jay Z,jay z
Big Pimpin’,jay z
Family Feud,jay z
Public Service Announcement,jay z
Picasso Baby,jay z
Song Cry,jay z
Smile,jay z
Open Letter,jay z
’03 Bonnie & Clyde,jay z
Izzo (H.O.V.A.),jay z
Bam,jay z
Heaven,jay z
Young Forever,jay z
BBC,jay z
Beach Is Better (Interlude),jay z
Somewhereinamerica,jay z
Crown,jay z
D’Evils,jay z
Hard Knock Life (Ghetto Anthem),jay z
Marcy Me,jay z
Dead Presidents II,jay z
La Familia,jay z
Can I Live,jay z
Can I Get A…,jay z
Lucifer,jay z
U Don’t Know,jay z
F.U.T.W,jay z
Caught Their Eyes,jay z
Moment of Clarity,jay z
Encore,jay z
Glory,jay z
Heart of the City (Ain’t No Love),jay z
Jay Z Blue,jay z
Lost One,jay z
Dead Presidents,jay z
On To The Next One,jay z
Moonlight,jay z
"Girls, Girls, Girls",jay z
God’s Plan,drake
In My Feelings,drake
Hotline Bling,drake
One Dance,drake
"Hold On, We’re Going Home",drake
Know Yourself,drake
Back To Back,drake
Family Matters,drake
All Me,drake
From Time,drake
Fake Love,drake
0 to 100 / The Catch Up,drake
The Motto,drake
Pound Cake / Paris Morton Music 2,drake
Started from the Bottom,drake
Marvins Room,drake
Push Ups,drake
Passionfruit,drake
HYFR (Hell Ya Fucking Right),drake
Nice For What,drake
Energy,drake
Child’s Play,drake
Too Good,drake
Jungle,drake
Furthest Thing,drake
Over My Dead Body,drake
Worst Behavior,drake
Summer Sixteen,drake
The Language,drake
Girls Love Beyoncé,drake
Nonstop,drake
How Bout Now,drake
Too Much,drake
Shot for Me,drake
Headlines,drake
Take Care,drake
Portland,drake
Legend,drake
Controlla,drake
I’m Upset,drake
Gyalchester,drake
U With Me?,drake
Look What You’ve Done,drake
Do Not Disturb,drake
Teenage Fever,drake
THE HEART PART 6,drake
Crew Love,drake
Fire & Desire,drake
Doing It Wrong,drake
Own It,drake
Love Me,lil wayne
Mona Lisa,lil wayne
6 Foot 7 Foot,lil wayne
Believe Me,lil wayne
Mirror,lil wayne
Rich As Fuck,lil wayne
A Milli,lil wayne
She Will,lil wayne
Lollipop (Remix),lil wayne
Don’t Cry,lil wayne
Blunt Blowin’,lil wayne
Right Above It,lil wayne
Uproar,lil wayne
Drop the World,lil wayne
No Worries,lil wayne
How to Love,lil wayne
John,lil wayne
Lollipop,lil wayne
Mr. Carter,lil wayne
Dedicate,lil wayne
Let It Fly,lil wayne
God Bless Amerika,lil wayne
My Homies Still,lil wayne
Can’t Be Broken,lil wayne
Glory,lil wayne
How to Hate,lil wayne
Let It All Work Out,lil wayne
Mrs. Officer,lil wayne
Grindin’,lil wayne
It’s Good,lil wayne
President Carter,lil wayne
Pussy Money Weed,lil wayne
I’m Good (Dedication 5),lil wayne
I’m Single,lil wayne
Family Feud,lil wayne
CoCo,lil wayne
Wowzers,lil wayne
I Feel Like Dying,lil wayne
5 Star,lil wayne
Dark Side of the Moon,lil wayne
Mercy,lil wayne
Typa Way,lil wayne
Turn On the Lights,lil wayne
Ride for My Niggas (Sky is the Limit),lil wayne
You Song,lil wayne
Nightmares of the Bottom,lil wayne
Trigger Finger,lil wayne
3 Peat,lil wayne
Open Letter,lil wayne
Back to You,lil wayne
Only,nicki minaj
Feeling Myself,nicki minaj
Barbie Dreams,nicki minaj
Truffle Butter,nicki minaj
Anaconda,nicki minaj
Chun-Li,nicki minaj
Super Bass,nicki minaj
Beez In The Trap,nicki minaj
Lookin Ass,nicki minaj
High School,nicki minaj
Pills N Potions,nicki minaj
Barbie Tingz,nicki minaj
Roman’s Revenge,nicki minaj
Big Foot,nicki minaj
Itty Bitty Piggy,nicki minaj
Starships,nicki minaj
Did It On’em,nicki minaj
Moment 4 Life,nicki minaj
All Things Go,nicki minaj
Good Form,nicki minaj
No Flex Zone (Remix),nicki minaj
Favorite,nicki minaj
Stupid Hoe,nicki minaj
Super Freaky Girl,nicki minaj
Bed,nicki minaj
FTCU,nicki minaj
Ganja Burn,nicki minaj
Want Some More,nicki minaj
Buy a Heart,nicki minaj
Fly,nicki minaj
I’m Legit,nicki minaj
Chun Swae,nicki minaj
Yikes,nicki minaj
Bust Down Barbiana,nicki minaj
LLC,nicki minaj
Red Ruby Da Sleeze,nicki minaj
The Crying Game,nicki minaj
Rich Sex,nicki minaj
Bed of Lies,nicki minaj
Hard White,nicki minaj
Get On Your Knees,nicki minaj
Your Love,nicki minaj
MEGATRON,nicki minaj
Regret In Your Tears,nicki minaj
I Am Your Leader,nicki minaj
Right By My Side,nicki minaj
I Lied,nicki minaj
Roman Holiday,nicki minaj
Good Form (Remix),nicki minaj
Big Daddy,nicki minaj
Doomsday,mf doom
Rapp Snitch Knishes,mf doom
Beef Rap,mf doom
One Beer,mf doom
Hoe Cakes,mf doom
That’s That,mf doom
Rhymes Like Dimes,mf doom
Deep Fried Frenz,mf doom
Potholderz,mf doom
Gazzillion Ear,mf doom
All Outta Ale,mf doom
Vomitspit,mf doom
? (Question Mark),mf doom
Kon Karne,mf doom
Kookies,mf doom
Kon Queso,mf doom
Gas Drawls,mf doom
Batty Boyz,mf doom
Guinnessez,mf doom
Red and Gold,mf doom
"Tick, Tick...",mf doom
Cellz,mf doom
My Favorite Ladies,mf doom
The Finest,mf doom
Hey!,mf doom
Dead Bent,mf doom
Absolutely,mf doom
